ID Donatur,recency,frequency,monetary,last_date,last_nominal,program,cara_bayar,monetary_log,cluster,churn,segmen,prob_churn,prediksi
DAD-00199,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00200,1401,2,400000.0,2022-03-01,200000.0,Wakaf Qur'an,Transfer,12.899222326086994,2,0,Tidak Churn,2.1780324e-06,0
DAD-00201,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00202,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00203,1309,4,600000.0,2022-06-01,200000.0,Becare Food,Transfer,13.304686600863562,2,0,Tidak Churn,1.3036134e-06,0
DAD-00204,1340,4,500000.0,2022-05-01,200000.0,Wakaf Qur'an,Transfer,13.122365377402328,2,0,Tidak Churn,1.3584021e-06,0
DAD-00205,110,31,5750000.0,2025-09-12,50000.0,Pulihkan Duka Negeri Palestina,Transfer,15.564710586686562,0,0,Tidak Churn,0.0002543312,0
DAD-00206,866,3,600000.0,2023-08-18,200000.0,Wakaf Qur'an,Transfer,13.304686600863562,2,0,Tidak Churn,1.3468095e-06,0
DAD-00207,1370,4,200000.0,2022-04-01,50000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.025184e-06,0
DAD-00208,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00209,1401,2,140000.0,2022-03-01,70000.0,Wakaf Qur'an,Transfer,11.849404844423074,2,0,Tidak Churn,3.907734e-06,0
DAD-00210,1401,2,400000.0,2022-03-01,200000.0,Wakaf Qur'an,Transfer,12.899222326086994,2,0,Tidak Churn,2.1780324e-06,0
DAD-00211,1340,4,700000.0,2022-05-01,200000.0,Becare Food,Transfer,13.45883704259595,2,0,Tidak Churn,1.8608912e-06,0
DAD-00212,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00213,1401,2,300000.0,2022-03-01,150000.0,Wakaf Qur'an,Transfer,12.611541086966115,2,0,Tidak Churn,2.294864e-06,0
DAD-00214,285,1,80000.0,2025-03-21,80000.0,Sambung Hidup Dhuafa,Transfer,11.289794413577894,1,1,Berpotensi Churn,0.9999988,1
DAD-00215,390,7,600000.0,2024-12-06,100000.0,Wakaf Qur'an,Transfer,13.304686600863562,1,1,Berpotensi Churn,0.99992585,1
DAD-00216,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00217,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00218,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00219,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00220,1401,2,444444.0,2022-03-01,222222.0,Wakaf Qur'an,Transfer,13.004581591747163,2,0,Tidak Churn,1.8350465e-06,0
DAD-00221,446,12,1000000.0,2024-10-11,200000.0,Wakaf Qur'an,Transfer,13.815511557963774,1,1,Berpotensi Churn,0.99994004,1
DAD-00222,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00223,210,12,2205000.0,2025-06-04,125000.0,Wakaf Qur'an,Transfer,14.606238520377719,1,1,Berpotensi Churn,0.99774605,1
DAD-00224,929,9,750000.0,2023-06-16,50000.0,Wakaf Qur'an,Transfer,13.527829818844937,2,0,Tidak Churn,1.6761821e-06,0
DAD-00225,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00226,264,10,2610000.0,2025-04-11,300000.0,Wakaf Qur'an,Transfer,14.774861162440565,1,1,Berpotensi Churn,0.9951748,1
DAD-00227,1401,2,400000.0,2022-03-01,200000.0,Wakaf Qur'an,Transfer,12.899222326086994,2,0,Tidak Churn,2.1780324e-06,0
DAD-00228,1401,2,300000.0,2022-03-01,150000.0,Wakaf Qur'an,Transfer,12.611541086966115,2,0,Tidak Churn,2.294864e-06,0
DAD-00229,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00230,1401,2,100000.0,2022-03-01,50000.0,Wakaf Qur'an,Transfer,11.51293546492023,2,0,Tidak Churn,6.2826784e-06,0
DAD-00231,1401,2,200000.0,2022-03-01,100000.0,Wakaf Qur'an,Transfer,12.206077645517674,2,0,Tidak Churn,2.7357921e-06,0
DAD-00232,1370,4,600000.0,2022-04-01,100000.0,Wakaf Qur'an,Transfer,13.304686600863562,2,0,Tidak Churn,1.3036134e-06,0
DAD-00233,348,32,3920000.0,2025-01-17,150000.0,Wakaf Movement,Transfer,15.181602466868654,0,0,Tidak Churn,0.0004206909,0
